id,text,date,title,subtitle,class,category,requirements,participate,level,gov
gov_11,Федеральным законом освобождаются от обложения налогом на добавленную стоимость в размере 20% операции по реализации банками драгоценных металлов в слитках физическим лицам с изъятием из хранилищ банков.,Действует  ,Отмена НДС на драгметаллы для граждан,Отмена 20% налога при покупке,People,Taxes,0,0,Федеральный,0
gov_12,В каждом университете страны студенты могут получить помощь с трудоустройством. Для этого в вузах созданы Центры карьеры. Там студентам могут помочь:  • найти место прохождения практики;  • составить карьерный план на несколько лет вперед; • познакомить с работодателем; • сопоставить «ожидание» и «реальность» своих карьерных и зарплатных возможностей;,Действует  ,Помощь студентам с трудоустройством,"Поиск мест практики и работы, оценка карьерных перспектив",People,Social,Быть студентом вуза.,"Пользователи  «Факультетуса»  могут создать свой профиль и подписаться на интересных им работодателей. Пользователи также могут: •получать приглашения на мероприятия, стажировки и работу, •регистрироваться на любое событие в любом университете страны, •создать цифровое резюме и дополнять его своими работами с GitHub, Pinterest, Behance и других платформ, •найти единомышленников для своего первого стартапа или студенческого проекта.",Федеральный,0
gov_13,"Россияне, обучавшиеся за рубежом и безосновательно отчисленные из европейских университетов, смогут бесплатно продолжить свою учёбу в российских вузах.  Вступительные испытания для таких студентов будут проходить в упрощённом порядке, который определит сам вуз. Курс, на который может быть зачислен студент, будет определяться индивидуально с учётом его достижений. В этом случае он будет принят в порядке перевода. Студенты смогут учиться на бюджетных местах или по договорам о платных образовательных услугах. При этом стоимость такого обучения будет полностью компенсироваться за счёт вуза.    Подробный порядок приёма студентов разрабатывается образовательными организациями.",Истёк  ,"Приём в российские вузы студентов, обучавшихся за рубежом","Бесплатное обучение россиян, безосновательно отчисленных из европейских вузов",People,Social,Обратиться в интересующий вуз. Порядок приёма и перевода устанавливается вузом.,0,Федеральный,http://government.ru/docs/44998/; http://government.ru/news/48198/
gov_14,"Российские национальные водительские удостоверения, срок действия которых истекает с 1 января 2022 года по 31 декабря 2023 года, будут продлены автоматически на три года. Решение касается около 5 млн водительских удостоверений.",Истёк  ,Продление действия водительских прав,Действие водительских удостоверений продлевается на 3 года,People,Social,Автоматически.,Постановление от 9 апреля 2022 года №626,Федеральный,http://government.ru/news/45114/
gov_15,"В России упрощен действующий порядок регистрации автомобилей, ввозимых гражданами или организациями из-за границы.  Отменено одно из обязательных требований к техническому оснащению машин – теперь их можно использовать без устройств вызова экстренных служб «ЭРА-ГЛОНАСС». До сих пор для ввоза и постановки автомобиля на учёт в ГИБДД его нужно было оснащать комплектом такого оборудования.",Действует  ,Упрощенный порядок регистрации автомобилей,"Изменение действующего порядка регистрации автомобилей, ввозимых из-за рубежа",People,Regulation,0,0,Федеральный,0
gov_16,"Покупатели станков из числа госкомпаний и госорганизаций должны авансировать поставки в объёме не менее 80% стоимости заказа. Речь идёт о 10 видах продукции. Это в том числе станки для обработки металла лазером, обрабатывающие центры, станки для обработки камня и дерева, а также токарные, расточные и фрезерные металлорежущие станки. В части дорожно-строительной техники, закупки которой планируется проводить в 2024–2026 годах, речь идёт о 35 наименованиях, среди которых гусеничные тракторы, самоходные грейдеры, дорожные катки, экскаваторы, автокраны, снегоочистители.",Действует  ,Авансирование закупок промышленной продукции,В объёме не менее 80% цены контракта,Business,Finance,0,0,Федеральный,0
gov_17,"Предприятия, реализующие крупные проекты в приоритетных отраслях экономики, могут принять участие в программе трудовой мобильности и получать субсидии за трудоустройство сотрудников из других ов или других муниципальных образований. Размер господдержки в рамках этой программы составляет 12 минимальных размеров оплаты труда, увеличенных на страховые взносы и районные коэффициенты. В среднем это около 300 тыс. рублей на каждого привлечённого работника. Ранее субсидии за трудоустройство сотрудников из других ов или других муниципальных образований (в пределах одного а) могли получать только предприятия оборонно-промышленного комплекса, входящие в специальный реестр Минпромторга, и организации, работающие в новых ах.",Действует  ,Расширение программы трудовой мобильности,Субсидии работодателям за трудоустройство сотрудников из других регионов,Business,Finance,"Деятельность в приоритетной отрасли, зарплата выше средней по региону, проект >3 млрд руб., 100+ новых сотрудников, объем продукции >5% регионального.","Работодатель, включенный регионом в перечень организаций, испытывающих потребность в привлечении работников, подает заявление о получении субсидии в Социальный фонд России.",Федеральный,http://government.ru/news/51705/; http://government.ru/docs/all/133363/
gov_18,"На время действия ограничений из России не будут вывозиться отходы и лом драгоценных металлов или металлов, плакированных драгоценными металлами, прочие отходы и лом, содержащие драгоценный металл или соединения драгоценных металлов. Также будет приостановлен вывоз отходов и лома электротехнических и электронных изделий, используемых для извлечения драгоценных металлов, являющихся важными для внутреннего рынка страны. Запрет не будет распространяться на вывоз катодной сурьмы в слитках, а также проб, отобранных от партий лома и отходов драгоценных металлов, вывозимых аффинажными организациями. При этом масса одной пробы должна составлять не более 500 г в одной товарной партии независимо от количества таких партий по внешнеторговому контракту.",Действует  ,Запрет на вывоз отходов и лома драгоценных металлов,Временный запрет увеличит загрузку аффинажных предприятий и повысит налоговые поступления,Business,Regulation,0,0,Федеральный,0
gov_19,"В России продлено временное ограничение на вывоз риса и рисовой крупы. Решение принято для поддержания стабильности на внутреннем рынке. Для запрета на вывоз риса и рисовой крупы предусмотрен ряд исключений. В частности, он не будет распространяться на поставки этой продукции в государства – члены Евразийского экономического союза, а также Абхазию и Южную Осетию. Кроме того, рис и рисовую крупу можно будет отправлять за рубеж для оказания гуманитарной помощи, а также в рамках международных транзитных перевозок.",Действует  ,Запрет на вывоз риса и рисовой крупы,Ограничение продлено до 31 декабря 2024 года,Business,Regulation,0,0,Федеральный,0
gov_20,"Общий объём экспортной квоты составит около 19,2 млн т.  Объём квоты для азотных удобрений – около 11,2 млн т. Объём квоты на вывоз сложных минеральных удобрений – почти 8 млн т. Квоты не распространяются на поставку удобрений в Абхазию и Южную Осетию, а также вывоз из России в рамках международных транзитных перевозок.",Действует  ,Квота на вывоз минеральных удобрений,Продление сроков и изменение объёмов,Business,Regulation,Объемы распределяет Минпромторг.,Постановление от 19 октября 2024 года №1400                                                                                                                                                                                 Постановление от 14 октября 2024 года №1369                                                                                                                                                                                 Постановление от 27 апреля 2024 года №547                                                                                                                                                                                 Постановление от 23 ноября 2023 №1961                                                                                                                                                                                 Постановления от 27 мая 2023 года №821 и №822                                                                                                                                                                                 Постановление от 26 января 2023 года №91                                                                                                                                                                                 Постановление 12 декабря 2022 №2283                                                                                                                                                                                 Постановление от 06 августа 2022 №1392,Федеральный,http://government.ru/docs/53081/; http://government.ru/docs/52994/; http://government.ru/news/51487/; http://government.ru/docs/all/142484/150646; http://government.ru/docs/48590/; http://government.ru/docs/all/145794/; http://government.ru/docs/all/144838/; http://government.ru/docs/all/142484/
gov_21,"Действие тарифной квоты на экспорт лома и отходов чёрных металлов за пределы Евразийского экономического союза (ЕАЭС) продлено до 31 декабря 2024 года. Квота составит 550 тыс. тонн. При экспорте лома и отходов чёрных металлов в рамках квоты пошлина составит 5%, но не менее 15 евро за тонну, сверх этого – 5%, но не менее 290 евро за тонну. Это позволит обеспечить стратегическим сырьём отечественные предприятия металлургической отрасли в условиях санкционного давления со стороны недружественных стран.",Действует  ,Квоты на экспорт лома и отходов чёрных металлов,"Позволит регулировать вывоз из страны металла, необходимого для производства промышленной продукции",Business,Regulation,0,0,Федеральный,0
gov_22,"Российские организации, реализующие проекты по разработке и (или) внедрению проектов по цифровой трансформации на основе российских решений, могут получить кредит по льготной ставе от 1 до 5 % годовых; Аккредитованные IT-организации могут получить льготный кредит на реализацию новых проектов по льготной ставке до 3 % годовых. Размер льготного кредита может составить от 5 млн рублей до 5 млрд рублей на реализацию проектов, и от 500 млн рублей до 10 млрд рублей на реализацию программ.     На реализацию программы льготного кредитования в федеральном бюджете  на 2023-2024 годы предусмотрено 4 млрд рублей, что позволит поддержать не менее 150 проектов по цифровой трансформации.",Действует  ,Льготные кредиты для IT-компаний,"Кредиты на разработку ПО по ставке не более 3%, на внедрение российского ПО - от 1 до 5%",Business,Finance,"Аккредитация, сохранение 85% численности сотрудников, индексация зарплат.",Потенциальный заёмщик самостоятельно выбирает уполномоченный банк для получения льготного кредита. Со списком уполномоченных банков и контактными лицами можно ознакомиться по  ссылке .,Федеральный,0
gov_23,"На субсидирование процентной ставки по кредитам в рамках программы поддержки системообразующих организаций промышленности и торговли (почти 800 предприятий-заёмщиков) в 2023 году направят более 21,4 млрд рублей. Это позволит сохранить льготную ставку по займам, взятым в 2022 году на пополнение оборотных средств.  Программа поддержки системообразующих организаций промышленности и торговли была запущена в марте 2022 года. Организациям были доступны кредиты по льготной ставке на поддержание текущей деятельности. Одно предприятие могло получить до 10 млрд рублей на один год, группа компаний – до 30 млрд рублей. За счет этого удалось обеспечить бесперебойную работу предприятий в сложившейся экономической ситуации. Системообразующим организациям АПК выдавали кредиты до 7 млрд рублей по льготной ставке не более 10% годовых на срок не более 12 месяцев. На реализацию этой меры поддержки аграриев из резервного фонда Правительства в 2022 году было направлено более 26 млрд рублей.",Действует  ,"Льготные кредиты компаниям АПК, промышленности и торговли",Поддержка  системообразующих предприятий,Business,Finance,"Включение в список системообразующих компаний, сохранение занятости.","Распоряжение от 20 июня 2023 года №1619-р                                                                                                                                                                                 Распоряжение от 1 марта 2023 года №485-р                                                                                                                                                                                 Постановления от 22 апреля 2022 года №742, от 23 апреля 2022 года №745, распоряжение от 28 апреля 2022 года №1048                                                                                                                                                                                 Постановление от 1 июля 2022 года №1183                                                                                                                                                                                 Распоряжение от 11 апреля 2022 года №831-р                                                                                                                                                                                 Постановления от 16 марта 2022 года №375, от 17 марта 2022 года №393, распоряжения от 18 марта 2022 года №532-р и №534-р",Федеральный,http://government.ru/news/48917/; http://government.ru/news/47931/; http://government.ru/news/45298/; http://government.ru/docs/45902/; http://government.ru/news/45097/; http://government.ru/news/44840/
