id,link,title,requirements,level,type,support,participate
11,https://www.moscow-export.com/,Программы поддержки бизнеса Москвы на внешних рынках,Для московских компаний и ИП,Региональная мера,Субсидии и гранты,0,0
12,https://mfppp.ru/compensation/promyshlennye-predpriyatiya/,Программа поддержки Московского Фонда поддержки промышленности и предпринимательства (МФППиП),Для промышленных предприятий,Региональная мера,Компенсация затрат,3 года с даты заключения договора между Фондом и организацией,"Максимальный размер суммы, подлежащей возмещению по инвестиционному кредиту – до 3 млрд рублей"
13,https://mfppp.ru/compensation/sport/,Программа поддержки Московского Фонда поддержки промышленности и предпринимательства (МФППиП),"Для юридических лиц, реализующих проекты по развитию физической культуры и спорта",Региональная мера,Компенсация затрат,3 года с даты заключения договора между Фондом и организацией,"Максимальный размер суммы, подлежащей возмещению – не более 500 млн рублей"
14,https://www.mos.ru/authority/documents/doc/46190220/,Программа Комплексного развития территорий в городе Москвы,Для юридических лиц,Региональная мера,Развитие,"КРТ нежилой застройки 1. Инвестором по результатам торгов – Подготовка проекта решения о КРТ – Опубликование проекта решения о КРТ и направление правообладателям предложения о заключении договора о КРТ – Ожидание согласия на заключение договора о КРТ от правообладателей – Принятие решения о КРТ – Проведение торгов (torgi.gov.ru, roseltorg.ru, investmoscow.ru) – Заключение договора о КРТ – Оплата цены права на заключение договора о КРТ – Изъятие объектов недвижимости – Реализация проекта КРТ 2. Оператором КРТ (юридическим лицом, определенным городом) – Подготовка проекта решения о КРТ – Опубликование проекта решения о КРТ и направление правообладателям предложения о заключении договора о КРТ – Ожидание согласия на заключение договора о КРТ от правообладателей – Принятие решения о КРТ – Заключение договора о реализации проекта КРТ – Изъятие объектов недвижимости – Реализация проекта КРТ 3. Правообладателями по инициативе Правительства Москвы – Подготовка проекта решения о КРТ – Опубликование проекта решения о КРТ и направление правообладателям предложения о заключении договора о КРТ – Ожидание согласия на заключение договора о КРТ от правообладателей – Принятие решения о КРТ – Заключение договора о КРТ – Реализация проекта КРТ КРТ по инициативе правообладателей – Инициатива правообладателей – Направление обращения в уполномоченный орган с приложением соглашения о разграничении обязанностей по КРТ – Заключение договора о КРТ – Реализация проекта КРТ","Обязательства инвестора / правообладателя / оператора КРТ: – разработка проекта планировки территории; – предоставление безотзывной банковской гарантии, размер которой зависит от проекта; – изъятие земельных участков и объектов недвижимого имущества в границах проекта (не осуществляется в случае, если проект реализуется по инициативе правообладателей); – оформление прав на земельные участки; – строительство, реконструкция и ввод в эксплуатацию объектов капитального строительства в установленные сроки и с соблюдением очередности (этапности) реализации проекта; – благоустройство территории"
15,https://www.mos.ru/depr/documents/view/269724220/,Программа «Земля за 1 рубль» для строительства промышленных объектов,Для московских предприятий,Региональная мера,Льготы,0,0
16,https://xn--52-9kcqjffxnf3b.xn--p1ai/support_measures/,Программы поддержки предпринимателей Нижегородской области,Для юридических лиц и индивидуальных предпринимателей,Региональная мера,Субсидии и гранты,0,0
17,https://ncs.ru/uslugi,Консультационная поддержка сельскохозяйственного бизнеса в Нижегородской области,Для сельхозтоваропроизводителей,Региональная мера,Развитие,0,0
18,https://msppk.ru/,Программы поддержки бизнеса от Правительства Пермского края,Для юридических лиц и индивидуальных предпринимателей,Региональная мера,Субсидии и гранты,0,0
19,http://krasmsp.krskstate.ru/support,Программы поддержки предпринимателей Красноярского края,Для юридических лиц и индивидуальных предпринимателей,Региональная мера,Субсидии и гранты,0,0
20,https://www.mb31.ru/,Программа поддержки бизнеса от Белгородской области,Для юридических лиц и индивидуальных предпринимателей,Региональная мера,Субсидии и гранты,0,0
21,https://moibiz36.ru/measures/page/2/,Программы поддержки предпринимателей Воронежской области,Для юридических лиц и индивидуальных предпринимателей,Региональная мера,Субсидии и гранты,0,0
22,https://fundsbs.ru/programmy/poruchitelstvo-po-kreditam/,Поручительство по кредитам Гарантийного фонда Воронежской области,Для юридических лиц и индивидуальных предпринимателей,Региональная мера,Поручительство,0,0
23,https://subsidiya.tatarstan.ru/landing/,Программы поддержки бизнеса Республики Татарстан,Субсидии для юридических лиц и индивидуальных предпринимателей,Региональная мера,Субсидии и гранты,0,0
